title,singer,music_director,actor,genre,language,movie_name,album,year,duration_seconds,audio_file_path,moods
Watan Walo (Indian/Soundtrack Version),Roop Kumar Rathod,,,Hindi,Hindi,,Mere Deshpremiyo,,400,songs/roop_kumar_rathod_watan_walo_indiansoundtrack_version.mp3,feel good
Ye Ishq Ha,Shreya Ghoshal,,,Hindi,Hindi,,Baila Habibi 5,,280,songs/shreya_ghoshal_ye_ishq_ha.mp3,romantic
Main Agar Kahoon,Vishal-Shekhar,,,Hindi,Hindi,,,,,songs/vishal_shekhar_main_agar_kahoon.mp3,feel good
Titli,Vishal-Shekhar,,,Hindi,Hindi,,,,364,songs/vishal_shekhar_titli.mp3,feel good
Tere Naina,Shafqat Amanat Ali,,,Hindi,Hindi,,Sufiana,,278,songs/shafqat_amanat_ali_tere_naina.mp3,feel good
Mera Joota Hai Japani,Mukesh,,,Hindi,Hindi,,Priceless Gems - Mukesh Sings for Raj Kapoor (Vol. 1),,226,songs/mukesh_mera_joota_hai_japani.mp3,feel good
Bom Diggy Diggy,Zack Knight,,,Hindi,Hindi,,Sonu Ke Titu Ki Sweety (Original Motion Picture Soundtrack),,238,songs/zack_knight_bom_diggy_diggy.mp3,feel good
Chalte Chalte,Jatin-Lalit,,,Hindi,Hindi,,Fresh Melodious Vol-1,,298,songs/jatin_lalit_chalte_chalte.mp3,feel good
Phir Bhi Dil Hai Hindustani,Udit Narayan,,,Hindi,Hindi,,Phir Bhi Dil Hai Hindustani,,234,songs/udit_narayan_phir_bhi_dil_hai_hindustani.mp3,romantic
Mitwa,"Shafqat Amanat Ali, Shankar Mahadevan, Caralisa",,,Hindi,Hindi,,,,,songs/shafqat_amanat_ali_shankar_mahadevan_caralisa_mitwa.mp3,feel good
Hadippa,Mika Singh,,,Hindi,Hindi,,Dil Bole Hadippa (Original Soundtrack),,246,songs/mika_singh_hadippa.mp3,feel good
Azeem-O-Shaan Shahenshah,A.R. Rahman,,,Hindi,Hindi,,,,,songs/ar_rahman_azeem_o_shaan_shahenshah.mp3,feel good
Chakna Chakna,Himesh Reshammiya,,,Hindi,Hindi,,Namastey London,,285,songs/himesh_reshammiya_chakna_chakna.mp3,feel good
Kajra Re,Alisha Chinai,,,Hindi,Hindi,,,,482,songs/alisha_chinai_kajra_re.mp3,feel good
Tumhe Jo Maine Dekha,Anu Malik,,,Hindi,Hindi,,,,,songs/anu_malik_tumhe_jo_maine_dekha.mp3,feel good
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,,,Hindi,Hindi,,Rab Ne Bana Di Jodi,,,songs/roop_kumar_rathod_tujh_mein_rab_dikhta_hai.mp3,feel good
Main Hoon Na (Sad),Anu Malik,,,Hindi,Hindi,,,,,songs/anu_malik_main_hoon_na_sad.mp3,sad
Hale Dil,Harshit Saxena,,,Hindi,Hindi,,Murder 2 (Original Motion Picture Soundtrack),,348,songs/harshit_saxena_hale_dil.mp3,romantic
Tu Kaun Kahan Se Aayi Hai,Udit Narayan,,,Hindi,Hindi,,,,,songs/udit_narayan_tu_kaun_kahan_se_aayi_hai.mp3,feel good
Aarambh,Piyush Mishra,,,Hindi,Hindi,,Gulaal (Original Motion Picture Soundtrack),,295,songs/piyush_mishra_aarambh.mp3,feel good
Yeh Jism,Ali Azmat,,,Hindi,Hindi,,Jism 2,,230,songs/ali_azmat_yeh_jism.mp3,feel good
Maula,Ali Azmat,,,Hindi,Hindi,,Jism 2,,308,songs/ali_azmat_maula.mp3,feel good
Sheher,Swanand Kirkire,,,Hindi,Hindi,,,,,songs/swanand_kirkire_sheher.mp3,feel good
Hona Hai Kya,Ram Sampath,,,Hindi,Hindi,,Talaash,,285,songs/ram_sampath_hona_hai_kya.mp3,feel good
Beedo,Rekha Bhardwaj,,,Hindi,Hindi,,Gulaal (Original Motion Picture Soundtrack),,301,songs/rekha_bhardwaj_beedo.mp3,feel good
Kal Ho Naa Ho,Shankar Ehsaan Loy feat. Sonu Nigam,,,Hindi,Hindi,,,,,songs/shankar_ehsaan_loy_feat_sonu_nigam_kal_ho_naa_ho.mp3,feel good
Taar Bijli,Padmashree Sharda Sinha,,,Hindi,Hindi,,Gangs of Wasseypur 2 (Original Motion Picture Soundtrack),,412,songs/padmashree_sharda_sinha_taar_bijli.mp3,feel good
Genda Phool,"Rekha Bharadwaj, Shraddha Pandit, Sujata Majumdar",,,Hindi,Hindi,,,,,songs/rekha_bharadwaj_shraddha_pandit_sujata_majumdar_genda_phool.mp3,feel good
Bahut Khoob,Kids Of Musahar Village,,,Hindi,Hindi,,Gangs Of Wasseypur 2,,120,songs/kids_of_musahar_village_bahut_khoob.mp3,lonely
Ladki Badi Anjaani Hai,"Kumar Sanu, Alka Yagnik",,,Hindi,Hindi,,,,,songs/kumar_sanu_alka_yagnik_ladki_badi_anjaani_hai.mp3,feel good
Main Jahaan Rahoon,Rahat Fateh Ali Khan & Krishna,,,Hindi,Hindi,,,,,songs/rahat_fateh_ali_khan_krishna_main_jahaan_rahoon.mp3,feel good
Kabira - www.Songs.PK,Arijit Singh & Harshjeep,,,Hindi,Hindi,,,,,songs/arijit_singh_harshjeep_kabira_wwwsongspk.mp3,feel good
Show 3,Bollywood's Best with Neel and Esha on www.chutneyradio.com,,,Hindi,Hindi,,,,,songs/bollywoods_best_with_neel_and_esha_on_wwwchutneyradiocom_show_3.mp3,feel good
Goom Hai Kisi Ke Pyar Mein,Kishore Kumar & Lata Mangeshkar,,,Hindi,Hindi,,Greatest Hits R D-Burman His Finest Ever,,,songs/kishore_kumar_lata_mangeshkar_goom_hai_kisi_ke_pyar_mein.mp3,feel good
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,,,Hindi,Hindi,,Celebrating World Music Day 2021 - Music Dil Se Dil Tak,,284,songs/arijit_singh_tujhe_kitna_chahne_lage_from_kabir_singh.mp3,romantic
Mast Magan,Arijit Singh,,,Hindi,Hindi,,Soulful Voice,,,songs/arijit_singh_mast_magan.mp3,romantic
"Mast Magan (From ""2 States"")",Arijit Singh,,,Hindi,Hindi,,Best of Arijit Singh - Revisited,,280,songs/arijit_singh_mast_magan_from_2_states.mp3,romantic
"Satranga (From ""ANIMAL"")",Arijit Singh,,,Hindi,Hindi,,Vanga Vibes,,271,songs/arijit_singh_satranga_from_animal.mp3,romantic
"Humdard (From ""Ek Villain"")",Arijit Singh,,,Hindi,Hindi,,Love Forever With Arijit Singh,,260,songs/arijit_singh_humdard_from_ek_villain.mp3,sad
Sooraj Dooba Hain,Arijit Singh,,,Hindi,Hindi,,Romantic Songs,,264,songs/arijit_singh_sooraj_dooba_hain.mp3,romantic
"Sooraj Dooba Hain (From ""Roy"")",Arijit Singh,,,Hindi,Hindi,,New Year Party Bangers,,264,songs/arijit_singh_sooraj_dooba_hain_from_roy.mp3,romantic
"Kabhi Jo Baadal Barse (From ""Jackpot)",Arijit Singh,,,Hindi,Hindi,,Love Dose Arijit Singh,,254,songs/arijit_singh_kabhi_jo_baadal_barse_from_jackpot.mp3,romantic
"Tum Hi Ho (From ""Aashiqui 2"")",Arijit Singh,,,Hindi,Hindi,,Best of Arijit Singh - Revisited,,261,songs/arijit_singh_tum_hi_ho_from_aashiqui_2.mp3,romantic
"Mast Magan (From ""2 States)",Arijit Singh,,,Hindi,Hindi,,Love Dose Arijit Singh,,280,songs/arijit_singh_mast_magan_from_2_states.mp3,romantic
Humdard,Arijit Singh,,,Hindi,Hindi,,Ek Villain,,260,songs/arijit_singh_humdard.mp3,sad
"Itni Si Baat Hain (From ""Azhar"")",Arijit Singh,,,Hindi,Hindi,,Love Forever With Arijit Singh,,294,songs/arijit_singh_itni_si_baat_hain_from_azhar.mp3,romantic
"Tose Naina (From ""Mickey Virus)",Arijit Singh,,,Hindi,Hindi,,Love Dose Arijit Singh,,263,songs/arijit_singh_tose_naina_from_mickey_virus.mp3,romantic
Ve Maahi,Arijit Singh,,,Hindi,Hindi,,Kesari,,223,songs/arijit_singh_ve_maahi.mp3,romantic
Kabhi Jo Baadal Barse,Arijit Singh,,,Hindi,Hindi,,Jackpot,,254,songs/arijit_singh_kabhi_jo_baadal_barse.mp3,romantic
"Main Tera Boyfriend (From ""Raabta"")",Arijit Singh,,,Hindi,Hindi,,"The Best of Arijit Singh & Neha Kakkar, Vol. 2",,276,songs/arijit_singh_main_tera_boyfriend_from_raabta.mp3,romantic
Evano Oruvan,Swarnalatha,,,Tamil,Tamil,,Alaipayuthey (Original Motion Picture Soundtrack),,345,songs/swarnalatha_evano_oruvan.mp3,feel good
"Katchi Sera - From ""Think Indie""",Sai Abhyankkar,,,Tamil,Tamil,,,,,songs/sai_abhyankkar_katchi_sera_from_think_indie.mp3,feel good
"Aasa Kooda - From ""Think Indie""",Sai Abhyankkar,,,Tamil,Tamil,,,,,songs/sai_abhyankkar_aasa_kooda_from_think_indie.mp3,feel good
"Oorum Blood - From ""Dude""",Sai Abhyankkar,,,Tamil,Tamil,,,,,songs/sai_abhyankkar_oorum_blood_from_dude.mp3,feel good
Karuppaana Kai,TamilBeat.Com,,,Tamil,Tamil,,,,,songs/tamilbeatcom_karuppaana_kai.mp3,feel good
Kannukkul Kannai,Naresh Iyer,,,Tamil,Tamil,,Vinnaithaandi Varuvaayaa,,232,songs/naresh_iyer_kannukkul_kannai.mp3,feel good
Mental Manadhil,A.R. Rahman,,,Tamil,Tamil,,,,210,songs/ar_rahman_mental_manadhil.mp3,feel good
Pachai Nirame,Hariharan,,,Tamil,Tamil,,Alaipayuthey (Original Motion Picture Soundtrack),,358,songs/hariharan_pachai_nirame.mp3,feel good
Mundhinam,"Naresh Iyer, Prashanthini",,,Tamil,Tamil,,Vaaranam Aayiram,,343,songs/naresh_iyer_prashanthini_mundhinam.mp3,feel good
Osaka Muraiya,Karthik Raja,,,Tamil,Tamil,,,,,songs/karthik_raja_osaka_muraiya.mp3,feel good
"Tum Tum (From ""Enemy - Tamil"")",Thaman S,,,Tamil,Tamil,,,,,songs/thaman_s_tum_tum_from_enemy_tamil.mp3,feel good
"Kannukulla - From ""Dude""",Sai Abhyankkar,,,Tamil,Tamil,,,,,songs/sai_abhyankkar_kannukulla_from_dude.mp3,feel good
Kanave Kanave,Anirudh Ravichander,,,Tamil,Tamil,,,,,songs/anirudh_ravichander_kanave_kanave.mp3,feel good
Kadal Kadal (Language: Tamil; Film: Kadhal Dot Com),Hariharan,,,Tamil,Tamil,,,,,songs/hariharan_kadal_kadal_language_tamil_film_kadhal_dot_com.mp3,sad
Enna Solla Pogirai,Shankar Mahadevan,,,Tamil,Tamil,,Kandukondain Kandukondain,,359,songs/shankar_mahadevan_enna_solla_pogirai.mp3,feel good
Oru Maalai,Karthik,,,Tamil,Tamil,,Ghajini (Original Motion Picture Soundtrack) - EP,,354,songs/karthik_oru_maalai.mp3,feel good
"Azhagana Rakshasiyea (Language: Tamil; Film: Kadalar Dhinam; Film Artists: Kunal, Sonali Bindre)",SPB,,,Tamil,Tamil,,,,,songs/spb_azhagana_rakshasiyea_language_tamil_film_kadalar_dhinam_film.mp3,feel good
Aaruyire,A.R. Rahman,,,Tamil,Tamil,,,,308,songs/ar_rahman_aaruyire.mp3,feel good
Unnai Kaanadhu Naan,Shankar-Ehsaan-Loy,,,Tamil,Tamil,,,,,songs/shankar_ehsaan_loy_unnai_kaanadhu_naan.mp3,feel good
"Oru Maalai (Language: Tamil; Film: Ghajini; Film Artists: Surya, Asin)",Karthik,,,Tamil,Tamil,,Ghajini,,353,songs/karthik_oru_maalai_language_tamil_film_ghajini_film_artists_surya_as.mp3,feel good
Mazhai Kuruvi,A.R. Rahman,,,Tamil,Tamil,,The Ultimate Feel Good Mixtape,,349,songs/ar_rahman_mazhai_kuruvi.mp3,feel good
"Eppadi Vandhaayo (From ""Aaromaley"")",Siddhu Kumar,,,Tamil,Tamil,,,,,songs/siddhu_kumar_eppadi_vandhaayo_from_aaromaley.mp3,feel good
"Neethanae (From ""Mersal"")",A.R. Rahman,,,Tamil,Tamil,,,,,songs/ar_rahman_neethanae_from_mersal.mp3,romantic
Munbe Vaa,Naresh Iyer,,,Tamil,Tamil,,A.R.RAHMAN VIBRATION,,357,songs/naresh_iyer_munbe_vaa.mp3,feel good
Unakkul Naane,Pritt,,,Tamil,Tamil,,Unakkul Naane,,127,songs/pritt_unakkul_naane.mp3,feel good
"Verappa - From ""Karuppu""",Sai Abhyankkar,,,Tamil,Tamil,,,,,songs/sai_abhyankkar_verappa_from_karuppu.mp3,feel good
Enjoy Enjaami,Dhee,,,Tamil,Tamil,,Enjoy Enjaami,,280,songs/dhee_enjoy_enjaami.mp3,happy
New York Nagaram,A.R. Rahman,,,Tamil,Tamil,,A. R. Rahman Vibration,,378,songs/ar_rahman_new_york_nagaram.mp3,feel good
Pogadhe,Yuvan Shankar Raja,,,Tamil,Tamil,,Deepavali (Original Motion Picture Soundtrack),,330,songs/yuvan_shankar_raja_pogadhe.mp3,feel good
"Poi Solla (Language: Tamil; Film: April Madhathil; Film Artists: Srikanth, Sneha)",Yuvan Shankar Raja,,,Tamil,Tamil,,,,,songs/yuvan_shankar_raja_poi_solla_language_tamil_film_april_madhathil_film_artists_s.mp3,feel good
Mallipoo,A.R. Rahman,,,Tamil,Tamil,,,,,songs/ar_rahman_mallipoo.mp3,feel good
Kaalam Kalikaalam,Bharadwaj,,,Tamil,Tamil,,,,,songs/bharadwaj_kaalam_kalikaalam.mp3,feel good
"Jinguchaa (From ""Thug Life"")",Vaishali Samant,,,Tamil,Tamil,,,,,songs/vaishali_samant_jinguchaa_from_thug_life.mp3,feel good
Jothi Nerainchavaa,Sukhwindar Singh,,,Tamil,Tamil,,,,,songs/sukhwindar_singh_jothi_nerainchavaa.mp3,feel good
Vinnaithaandi Varuvaayaa,A.R. Rahman,,,Tamil,Tamil,,,,246,songs/ar_rahman_vinnaithaandi_varuvaayaa.mp3,feel good
Pudhu Vellai Mazhai,Unni Menon,,,Tamil,Tamil,,Take It Easy - A R Rahman Tamil Hits,,313,songs/unni_menon_pudhu_vellai_mazhai.mp3,feel good
Jorthaale,Asal Kolaar,,,Tamil,Tamil,,Jorthaale - Single,,138,songs/asal_kolaar_jorthaale.mp3,feel good
Raja Raja Chozhan,K. J. Yesudas,,,Tamil,Tamil,,,,295,songs/k_j_yesudas_raja_raja_chozhan.mp3,feel good
Anbe Aaruyire,Rahman A R,,,Tamil,Tamil,,,,,songs/rahman_a_r_anbe_aaruyire.mp3,feel good
Koi Kahe Kehta Rahe,Shankar-Ehsaan-Loy,,,Tamil,Tamil,,,,346,songs/shankar_ehsaan_loy_koi_kahe_kehta_rahe.mp3,feel good
Endrendrum Punnagai,"Praveen, Shankar Mahadevan",,,Tamil,Tamil,,,,,songs/praveen_shankar_mahadevan_endrendrum_punnagai.mp3,feel good
Rangola,Shankar Mahadevan,,,Tamil,Tamil,,,,266,songs/shankar_mahadevan_rangola.mp3,feel good
Naan Erikarai,Ilaiyaraaja,,,Tamil,Tamil,,,,,songs/ilaiyaraaja_naan_erikarai.mp3,feel good
Kodu Poatta,A.R. Rahman,,,Tamil,Tamil,,,,274,songs/ar_rahman_kodu_poatta.mp3,feel good
Kaattu Sirukki,A.R. Rahman,,,Tamil,Tamil,,,,353,songs/ar_rahman_kaattu_sirukki.mp3,feel good
Vennilavae Vennilavae,"Hariharan, Sadhana Sargam",,,Tamil,Tamil,,Minsara Kanavu,,355,songs/hariharan_sadhana_sargam_vennilavae_vennilavae.mp3,feel good
"Kaadhal kaditham (From ""Jodi"")",Unni Menon,,,Tamil,Tamil,,Prashanth Special Hits,,297,songs/unni_menon_kaadhal_kaditham_from_jodi.mp3,romantic
Hey Good Bye Nanba,"Sunitha Sarathy, Shankar Mahadevan",,,Tamil,Tamil,,,,,songs/sunitha_sarathy_shankar_mahadevan_hey_good_bye_nanba.mp3,feel good
Pachchai Nirame,"Clinton, Hariharan",,,Tamil,Tamil,,,,,songs/clinton_hariharan_pachchai_nirame.mp3,feel good
"Rasa Rasa (Language: Tamil; Film: Manasthan; Film Artists: Sarath Kumar, Sakshi)",Chithra,,,Tamil,Tamil,,,,,songs/chithra_rasa_rasa_language_tamil_film_manasthan_film_artists_sarath_.mp3,feel good
Alaipayuthey Kanna,"Harini, Kalyani Menon, Neyveli Ramalakshmi",,,Tamil,Tamil,,,,,songs/harini_kalyani_menon_neyveli_ramalakshmi_alaipayuthey_kanna.mp3,feel good
Quarantine Love Mashup,MD Musiq,,,Tamil,Tamil,,,,,songs/md_musiq_quarantine_love_mashup.mp3,romantic
Thalli Pogathey,A.R. Rahman,,,Tamil,Tamil,,,,,songs/ar_rahman_thalli_pogathey.mp3,feel good
Unna Ninaichaen,SP. Balasubramaniam,,,Tamil,Tamil,,,,,songs/sp_balasubramaniam_unna_ninaichaen.mp3,feel good
Yaro Yarodi,"Mahalakshmi Iyer, Richa Sharma, Vaishali",,,Tamil,Tamil,,,,,songs/mahalakshmi_iyer_richa_sharma_vaishali_yaro_yarodi.mp3,feel good
Janani,Ilaiyaraaja,,,Tamil,Tamil,,Ilaiyaraaja's Music Journey: Live in Italy,,488,songs/ilaiyaraaja_janani.mp3,feel good
"thandhai thAi, Muthu Thandavar",Dhanya Subramanian,,,Tamil,Tamil,,,,,songs/dhanya_subramanian_thandhai_thai_muthu_thandavar.mp3,feel good
Theepidika Theepidika,"Anushka, Premji",,,Tamil,Tamil,,,,,songs/anushka_premji_theepidika_theepidika.mp3,feel good
"vandE mAtaram (rAga mAlika), Subramanya Bharathy",Dhanya Subramanian,,,Tamil,Tamil,,,,,songs/dhanya_subramanian_vande_mataram_raga_malika_subramanya_bharathy.mp3,devotional
Naan Varuvene,A.R. Rahman,,,Tamil,Tamil,,Raavanan (Original Motion Picture Soundtrack),,299,songs/ar_rahman_naan_varuvene.mp3,feel good
"Gnapagam Varuthae (Language: Tamil; Film: Pudukkottaielerunthusaravanan; Film Artists: Dhanush, Aparna)",Bharadwaj,,,Tamil,Tamil,,,,,songs/bharadwaj_gnapagam_varuthae_language_tamil_film_pudukkottaielerunthusa.mp3,feel good
Kanave (Dream),DJSIRAN,,,Tamil,Tamil,,Lankan Tunez Tamil Remix,,229,songs/djsiran_kanave_dream.mp3,feel good
Three in One (Introduction),Ilaiyaraaja,,,Tamil,Tamil,,Ilaiyaraaja's Music Journey: Live in Italy,,216,songs/ilaiyaraaja_three_in_one_introduction.mp3,feel good
"Rahatulla (Language: Tamil; Film: Ghajini; Film Artists: Surya, Asin)",Anupama,,,Tamil,Tamil,,,,,songs/anupama_rahatulla_language_tamil_film_ghajini_film_artists_surya_asi.mp3,feel good
"Ammavum Naane (Language: Tamil; Film: Gajendra; Film Artists: Vijayakanth, Sneha)",Srinivas,,,Tamil,Tamil,,,,,songs/srinivas_ammavum_naane_language_tamil_film_gajendra_film_artists_vija.mp3,feel good
Good Time,Alpha Something,,,Tamil,Tamil,,,,,songs/alpha_something_good_time.mp3,feel good
Nee Dhaane,Alpha Something,,,Tamil,Tamil,,Venba (Original Video Game Soundtrack),,271,songs/alpha_something_nee_dhaane.mp3,romantic
Pachchai Nirame,"Kalyani Menon, Harini & Neyveli Ramalakshmi, Swarnalatha, S . P. B. Charan & Naveen, Hariharan & Clinton, Asha Bhonsle & Shankar Mahadevan, Sadhana Sargam & Sreenivas, Mahalakshmi, Vaishali, Richa Sharma, Praveen, Shankar, Clinton, Sreenivas",,,Tamil,Tamil,,,,,songs/kalyani_menon_harini_neyveli_ramalakshmi_swarnalatha_s_p_b_c_pachchai_nirame.mp3,feel good
Mayilirage,"Madhushree, Naresh Iyer",,,Tamil,Tamil,,,,,songs/madhushree_naresh_iyer_mayilirage.mp3,feel good
Unnaithane (K.J. Yesudas & Manjula) (Language: Tamil; Film: Nallavanukku Nallavan; Film Artists: Rajni Kanth),K.J. Yesudas,,,Tamil,Tamil,,,,,songs/kj_yesudas_unnaithane_kj_yesudas_manjula_language_tamil_film_nallavanuk.mp3,feel good
Thazhuvudu Nazhuvudu,"Balasubramanyam S P, Shreya Ghosal",,,Tamil,Tamil,,,,,songs/balasubramanyam_s_p_shreya_ghosal_thazhuvudu_nazhuvudu.mp3,feel good
Dol Dol Dolare,"Blazee, Shaheen",,,Tamil,Tamil,,,,,songs/blazee_shaheen_dol_dol_dolare.mp3,feel good
"Nijama Nijama (Language: Tamil; Film: Virumbukiren; Film Artists: Prashanth, Sneha)",Sadhana Sargam,,,Tamil,Tamil,,,,,songs/sadhana_sargam_nijama_nijama_language_tamil_film_virumbukiren_film_artists_.mp3,feel good
Kathali Kathali,Malaysia Vasudevan,,,Tamil,Tamil,,,,,songs/malaysia_vasudevan_kathali_kathali.mp3,feel good
Pudhu Vellai Mazhai,A.R. Rahman,,,Tamil,Tamil,,,,317,songs/ar_rahman_pudhu_vellai_mazhai.mp3,feel good
Adhareeni,A.R. Rahman,,,Tamil,Tamil,,,,,songs/ar_rahman_adhareeni.mp3,feel good
Aatharam Enakkonden (Language: Tamil),Chitra,,,Tamil,Tamil,,,,,songs/chitra_aatharam_enakkonden_language_tamil.mp3,feel good
Nenjam Ellam Kadhal,"Adnan Sami, Sujatha",,,Tamil,Tamil,,,,,songs/adnan_sami_sujatha_nenjam_ellam_kadhal.mp3,sad
Mainaru Vetti Katti,Santhosh Narayanan,,,Tamil,Tamil,,,,,songs/santhosh_narayanan_mainaru_vetti_katti.mp3,feel good
Onnu Rendu Moo,"Grace, Jassie Gift, Mukesh, Vadivelu",,,Tamil,Tamil,,,,,songs/grace_jassie_gift_mukesh_vadivelu_onnu_rendu_moo.mp3,feel good
Poove Poove Sollidu,Vijay Antony,,,Tamil,Tamil,,Rasikkum Seemane,,139,songs/vijay_antony_poove_poove_sollidu.mp3,feel good
"En Kannodu (Language: Tamil; Film: Azagki; Film Artists: Parthiban, Nandita Dass)",Yuvan,,,Tamil,Tamil,,,,,songs/yuvan_en_kannodu_language_tamil_film_azagki_film_artists_parthiban.mp3,feel good
"Kangal Kandadhu (Language: Tamil; Film: Oru Kalluriyin Kadhai; Film Artists: Arya, Sonia Agarwal)",Ranjith,,,Tamil,Tamil,,,,,songs/ranjith_kangal_kandadhu_language_tamil_film_oru_kalluriyin_kadhai_fi.mp3,feel good
Hey Salaa,"Blaaze, Naresh Iyyar, Mohd. Aslam",,,Tamil,Tamil,,,,,songs/blaaze_naresh_iyyar_mohd_aslam_hey_salaa.mp3,feel good
Hosanna,"Vijay Prakash, Suzanne D'Mello & Blaaze",,,Tamil,Tamil,,,,,songs/vijay_prakash_suzanne_dmello_blaaze_hosanna.mp3,feel good
Chellakileye,Ranjith Govind,,,Tamil,Tamil,,,,,songs/ranjith_govind_chellakileye.mp3,feel good
Mental Manadhil,A.R. Rahman & Jonita Gandhi,,,Tamil,Tamil,,,,,songs/ar_rahman_jonita_gandhi_mental_manadhil.mp3,feel good
Pistah,Shabareesh Varma,,,Tamil,Tamil,,Neram,,146,songs/shabareesh_varma_pistah.mp3,feel good
Music Bit,Devi Sri Prasad,,,Tamil,Tamil,,,,46,songs/devi_sri_prasad_music_bit.mp3,feel good
Markazhi Thingal,Unnikrishnan,,,Tamil,Tamil,,Sangamam (Original Motion Picture Soundtrack),,415,songs/unnikrishnan_markazhi_thingal.mp3,feel good
Kedakkari,A.R. Rahman,,,Tamil,Tamil,,,,,songs/ar_rahman_kedakkari.mp3,feel good
Lajjavathiye Ennai Asathu,Jassie Gift,,,Tamil,Tamil,,,,,songs/jassie_gift_lajjavathiye_ennai_asathu.mp3,feel good
Raha Laska Fik,Hindi,,,Tamil,Tamil,,Hindi,,300,songs/hindi_raha_laska_fik.mp3,feel good
Rangu Rangamma,Harris Jayaraj,,,Tamil,Tamil,,,,,songs/harris_jayaraj_rangu_rangamma.mp3,feel good
Pessamal,Amrita Jayakumar,,,Tamil,Tamil,,,,,songs/amrita_jayakumar_pessamal.mp3,feel good
Poi solla intha,Yuvan Shankar Raja,,,Tamil,Tamil,,,,,songs/yuvan_shankar_raja_poi_solla_intha.mp3,feel good
Kandukondain Kandukondain,A.R. Rahman,,,Tamil,Tamil,,iRahman - 15 Essential Tracks: Vol. 1 Tamil,,317,songs/ar_rahman_kandukondain_kandukondain.mp3,feel good
Sowkkiyama,Kadri Gopalnath,,,Tamil,Tamil,,Sangamam (Original Motion Picture Soundtrack),,354,songs/kadri_gopalnath_sowkkiyama.mp3,feel good
Zindagi,Srinivas,,,Tamil,Tamil,,Yuvvraaj,,,songs/srinivas_zindagi.mp3,feel good
Nenje Nenje,Harris Jayaraj,,,Tamil,Tamil,,,,,songs/harris_jayaraj_nenje_nenje.mp3,feel good
Why this kolaveri di,Dhanush,,,Tamil,Tamil,,,,259,songs/dhanush_why_this_kolaveri_di.mp3,feel good
Rangola Hola Hola,"Shankar Mahadevan , Sujatha",,,Tamil,Tamil,,,,,songs/shankar_mahadevan_sujatha_rangola_hola_hola.mp3,feel good
Rahatulla,Anupama,,,Tamil,Tamil,,,,,songs/anupama_rahatulla.mp3,feel good
Excuse Me Mr. Kanthaswamy,"Vikram, Suchitra Kuma",,,Tamil,Tamil,,,,,songs/vikram_suchitra_kuma_excuse_me_mr_kanthaswamy.mp3,feel good
"Imsaiye (Language: Tamil; Film: Kannukul Nilavu; Film Artists: Vijay, Shalini)",Srinivas,,,Tamil,Tamil,,,,,songs/srinivas_imsaiye_language_tamil_film_kannukul_nilavu_film_artists_vij.mp3,feel good
Konjum Mainakkale-StarMusiQ.Com,Sadhana Sargam,,,Tamil,Tamil,,,,,songs/sadhana_sargam_konjum_mainakkale_starmusiqcom.mp3,feel good
Kuchi Kuchi,"Hariharan, Swarnalatha, Shweta Mohan",,,Tamil,Tamil,,,,,songs/hariharan_swarnalatha_shweta_mohan_kuchi_kuchi.mp3,feel good
"Water Packet (From ""Raayan"")","A.R. Rahman, Shweta Mohan, Gana Kadhar & Santhosh Narayanan",,,Tamil,Tamil,,,,,songs/ar_rahman_shweta_mohan_gana_kadhar_santhosh_narayanan_water_packet_from_raayan.mp3,feel good
Nallavan Nallavan (Be A Good Boy),Hamsalekha,,,Tamil,Tamil,,,,,songs/hamsalekha_nallavan_nallavan_be_a_good_boy.mp3,feel good
Vaa Chellam,Udit Narayanan,,,Tamil,Tamil,,,,,songs/udit_narayanan_vaa_chellam.mp3,feel good
Un Azhzgukku,"Shankar Mahadevan, Sujatha",,,Tamil,Tamil,,,,,songs/shankar_mahadevan_sujatha_un_azhzgukku.mp3,feel good
Urvashi Uravashi,"a.r. rahman, suresh peters & shahul hameed",,,Tamil,Tamil,,,,,songs/ar_rahman_suresh_peters_shahul_hameed_urvashi_uravashi.mp3,feel good
Gadi Thalupulu,Thaman S.,,,Tamil,Tamil,,,,,songs/thaman_s_gadi_thalupulu.mp3,feel good
Ro Ro Roshini,Nivas,,,Tamil,Tamil,,Chennai 2 Singapore (Original Motion Picture Soundtrack),,280,songs/nivas_ro_ro_roshini.mp3,feel good
Aaja Meri Soniye,"S.P.Charan,Vijay Yesudas,Premgi Amaren",,,Tamil,Tamil,,,,,songs/spcharanvijay_yesudaspremgi_amaren_aaja_meri_soniye.mp3,feel good
So Baby,Sivakarthikeyan,,,Tamil,Tamil,,,,,songs/sivakarthikeyan_so_baby.mp3,feel good
Sirichi Sirichi,Grace Karunas,,,Tamil,Tamil,,,,,songs/grace_karunas_sirichi_sirichi.mp3,feel good
Aalaala Kandaa,M.S.V.,,,Tamil,Tamil,,,,,songs/msv_aalaala_kandaa.mp3,feel good
Kannodu Kaanberallam,Nithyashree,,,Tamil,Tamil,,,,,songs/nithyashree_kannodu_kaanberallam.mp3,feel good
Alai Payuthey,"Kalyani Menon, Harini, Neyveli Ramalakshmi",,,Tamil,Tamil,,,,,songs/kalyani_menon_harini_neyveli_ramalakshmi_alai_payuthey.mp3,feel good
