title,singer,music_director,actor,genre,language,movie_name,album,year,duration_seconds,audio_file_path,moods
Meluko Srirangaraya_Annamacharya keertana,Harini Darbha,,,Telugu,Telugu,,,,,songs/harini_darbha_meluko_srirangaraya_annamacharya_keertana.mp3,feel good
Ee Chinni Life,"Anoop Rubens, Alphons Joseph",,,Telugu,Telugu,,,,,songs/anoop_rubens_alphons_joseph_ee_chinni_life.mp3,feel good
Meluko Srirangaraya - Annamacharya Keertana,Harini Darbha,,,Telugu,Telugu,,,,,songs/harini_darbha_meluko_srirangaraya_annamacharya_keertana.mp3,feel good
"Vishal, Bhanu",Bharani Telugu Full Movie,,,Telugu,Telugu,,,,,songs/bharani_telugu_full_movie_vishal_bhanu.mp3,feel good
Carnatic Classical Fusion (Mokshamu Galatha),Aathirai Sivapalan,,,Telugu,Telugu,,,,,songs/aathirai_sivapalan_carnatic_classical_fusion_mokshamu_galatha.mp3,feel good
Guchchi Guchchi,Shruti Patak,,,Telugu,Telugu,,,,,songs/shruti_patak_guchchi_guchchi.mp3,feel good
Love Me,"Sandeep Chowtha, Nikita Nigam",,,Telugu,Telugu,,,,,songs/sandeep_chowtha_nikita_nigam_love_me.mp3,romantic
A Vachhi B Pai Valle,Adnan Sami & Mathangi,,,Telugu,Telugu,,,,,songs/adnan_sami_mathangi_a_vachhi_b_pai_valle.mp3,feel good
"Najabhaja (From ""God Father"")",Sri Krishna,,,Telugu,Telugu,,,,,songs/sri_krishna_najabhaja_from_god_father.mp3,devotional
Time Ivvu Pilla,Silambarasan TR,,,Telugu,Telugu,,18 Pages (Original Motion Picture Soundtrack) - EP,,215,songs/silambarasan_tr_time_ivvu_pilla.mp3,feel good
Meenacchi Meenacchi,Sooraj Santhosh,,,Telugu,Telugu,,Korameenu (Original Motion Picture Soundtrack) - EP,,245,songs/sooraj_santhosh_meenacchi_meenacchi.mp3,feel good
Raalupoola Ragamala...,"Shri, Wilson Herald",,,Telugu,Telugu,,Pelli Choopulu,,167,songs/shri_wilson_herald_raalupoola_ragamala.mp3,feel good
Ventaade Gaayam,Vivek Sagar,,,Telugu,Telugu,,,,205,songs/vivek_sagar_ventaade_gaayam.mp3,feel good
Yevarive Prema Hrudayama,Sid Sriram,,,Telugu,Telugu,,,,,songs/sid_sriram_yevarive_prema_hrudayama.mp3,romantic
Maaye Maaye,Kapil Kapilan,,,Telugu,Telugu,,Nenu Student Sir (Original Motion Picture Soundtrack) - Single,,218,songs/kapil_kapilan_maaye_maaye.mp3,feel good
Zari Zari Panche Katti,Sravana Bhargavi,,,Telugu,Telugu,,,,,songs/sravana_bhargavi_zari_zari_panche_katti.mp3,feel good
Ra Ra Reddy I Am Ready,Lipsika,,,Telugu,Telugu,,Macherla Niyojakavargam,,260,songs/lipsika_ra_ra_reddy_i_am_ready.mp3,feel good
My Heart (Remix),KK,,,Telugu,Telugu,,Jalsa (Original Motion Picture Soundtrack),,181,songs/kk_my_heart_remix.mp3,sad
Bommali,"HEMACHANDRA, MALAVIKA",,,Telugu,Telugu,,,,,songs/hemachandra_malavika_bommali.mp3,feel good
Idhi Ranarangam,"Ranjith, Rahul, Naveen",,,Telugu,Telugu,,Ramayya Vasthavayya (Original Motion Picture Soundtrack),,213,songs/ranjith_rahul_naveen_idhi_ranarangam.mp3,feel good
Pada Pada,Karthik,,,Telugu,Telugu,,Vennila Kabadi Kuzhu,,277,songs/karthik_pada_pada.mp3,feel good
Chirunavvula Thotaku Swagatham,Sachin-Jigar,,,Telugu,Telugu,,Prabhudeva's Abcd,,313,songs/sachin_jigar_chirunavvula_thotaku_swagatham.mp3,feel good
"Amma Song (From Oke Oka Jeevitham) - From ""Oke Oka Jeevitham""",Jakes Bejoy,,,Telugu,Telugu,,,,,songs/jakes_bejoy_amma_song_from_oke_oka_jeevitham_from_oke_oka_jeevitham.mp3,feel good
Bimbilikki Pilapi,Anirudh Ravichander,,,Telugu,Telugu,,,,,songs/anirudh_ravichander_bimbilikki_pilapi.mp3,feel good
"Premo Yemo (From ""Lucky Lakshman"")",Ramya Behra,,,Telugu,Telugu,,,,,songs/ramya_behra_premo_yemo_from_lucky_lakshman.mp3,romantic
Madhi Thalupunu Thelupaleka - Meet the Boy,Vijai Bulganin,,,Telugu,Telugu,,,,,songs/vijai_bulganin_madhi_thalupunu_thelupaleka_meet_the_boy.mp3,feel good
namakatapani,Devi Sri Prasad,,,Telugu,Telugu,,,,,songs/devi_sri_prasad_namakatapani.mp3,feel good
Indian Romantic Movies,Vasekaranam Telugu  Movie,,,Telugu,Telugu,,,,,songs/vasekaranam_telugu_movie_indian_romantic_movies.mp3,feel good
